respondent_id,accuracy,start_date,end_date,materials_science,chemistry,physics,highest_academic_degree_held,current_position,experimental,computational,theoretical
10145244165,0.3333333333333333,8/4/18 9:25,8/4/18 9:36,NA,NA,Physics,PhD,Faculty,Experimental,NA,NA
10145219709,0.2222222222222222,8/4/18 8:51,8/4/18 9:01,Materials Science,NA,NA,MS,Graduate Student,Experimental,NA,NA
10145219521,0.2777777777777778,8/4/18 8:48,8/4/18 9:06,Materials Science,NA,Physics,PhD,Faculty,Experimental,NA,NA
10145209132,0.5555555555555556,8/4/18 8:36,8/4/18 9:05,Materials Science,NA,Physics,PhD,Faculty,Experimental,NA,NA
10144105048,0.3888888888888889,8/3/18 10:47,8/3/18 10:51,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10144033010,0.7222222222222222,8/3/18 10:08,8/3/18 10:58,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10143192620,0.5,8/2/18 20:40,8/2/18 20:56,Materials Science,NA,NA,PhD,Faculty,Experimental,NA,NA
10142736028,0.5,8/2/18 15:07,8/2/18 15:14,Materials Science,NA,Physics,PhD,Staff Scientist,Experimental,NA,NA
10141408673,0.2777777777777778,8/1/18 23:32,8/1/18 23:52,Materials Science,NA,NA,PhD,Faculty,Experimental,NA,NA
10129949550,0.3333333333333333,7/25/18 17:17,7/25/18 17:21,NA,Chemistry,NA,BA/BS,Graduate Student,Experimental,Computational,NA
10105717725,0.3888888888888889,7/10/18 21:55,7/10/18 22:06,Materials Science,NA,NA,MS,Graduate Student,Experimental,Computational,NA
10105551544,0.2222222222222222,7/10/18 19:15,7/10/18 19:30,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10105461244,0.3888888888888889,7/10/18 17:54,7/10/18 19:06,Materials Science,NA,NA,BA/BS,Graduate Student,Experimental,NA,NA
10105286993,0.2777777777777778,7/10/18 15:47,7/10/18 15:58,Materials Science,Chemistry,NA,BA/BS,Graduate Student,NA,Computational,Theoretical
